Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Admission grade,Educational special needs,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Target
9147,1,1,118,122,0,1,0,0,19,0,5,11,3,10,0,0,5,9,4,10,0,1
9085,1,1,122,113,0,1,0,0,18,0,5,9,4,14,0,0,5,8,5,12,0,2
9500,1,1,143,129,0,1,0,1,20,3,7,7,7,13,0,5,8,8,8,14,0,1
9500,1,1,133,126,0,1,0,0,19,0,7,9,7,13,0,0,8,11,7,12,0,1
9853,1,1,122,112,0,1,0,0,22,0,6,10,5,12,0,0,6,9,4,11,0,2
9238,1,1,164,149,0,1,0,1,23,0,6,7,6,13,0,0,6,6,6,14,0,1
9500,1,1,133,120,0,1,1,1,34,0,8,8,7,13,0,0,8,8,7,13,0,1
9119,1,1,127,120,0,0,1,0,18,0,5,12,0,0,0,0,5,8,0,0,0,2
9773,1,1,140,128,1,1,1,0,21,0,6,6,5,11,0,0,6,9,0,0,0,0
9238,1,1,127,141,0,1,1,0,22,0,6,6,6,12,0,0,6,6,6,13,0,0
9003,1,12,133,130,0,1,1,0,28,0,6,6,0,0,0,0,6,6,0,0,0,0
9119,1,1,115,113,0,1,1,0,23,0,5,7,0,0,0,0,5,5,0,0,0,0
9773,1,1,108,105,0,1,1,0,20,0,6,11,4,10,0,0,6,13,2,10,0,0
9119,1,1,136,122,0,1,1,0,18,0,5,7,5,12,0,0,5,9,3,13,0,0
9147,1,12,133,120,0,0,1,0,28,0,5,5,0,0,0,0,5,5,0,0,0,0
9070,1,39,120,119,0,1,1,0,21,2,7,7,2,12,0,5,9,10,7,12,0,0
9670,1,1,133,122,0,0,1,0,25,0,6,7,3,14,0,0,6,9,2,14,0,0
9085,1,39,160,160,1,0,1,0,19,2,6,6,6,14,0,1,6,11,6,13,0,0
9500,1,1,128,125,0,1,1,1,18,0,7,7,7,14,0,0,8,9,8,15,0,1
9119,1,3,130,143,0,1,1,0,29,0,3,3,0,0,3,0,5,0,0,0,0,0
9119,1,19,133,96,0,1,1,1,29,0,5,6,0,0,0,0,5,7,0,0,0,0
9254,1,1,137,126,0,1,1,0,20,0,6,7,6,13,0,0,6,7,5,12,0,1
171,1,1,163,143,0,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1
9254,1,1,125,114,0,1,1,0,20,0,6,8,6,13,0,0,6,7,6,12,0,1
9119,1,1,120,140,0,1,1,0,33,0,5,14,1,18,0,0,5,9,2,13,0,0
9991,0,1,150,113,0,1,1,0,30,11,15,15,13,11,0,6,11,15,10,11,1,1
9556,1,1,135,131,0,1,1,1,21,0,7,14,5,11,0,0,8,11,6,11,0,2
9003,1,1,148,143,0,1,1,0,18,0,6,6,5,15,0,0,6,8,4,14,0,1
9500,1,1,138,126,0,1,1,1,19,0,7,9,7,14,0,0,8,12,8,12,0,1
9070,1,1,119,115,0,1,1,1,21,0,6,8,4,11,0,0,6,7,5,11,0,0
9556,1,1,130,100,0,1,1,1,25,0,7,7,2,10,0,0,7,7,0,0,0,0
9670,1,1,135,121,0,1,1,0,19,0,5,7,3,12,0,0,5,5,5,11,0,1
9070,1,39,120,120,0,1,1,0,23,2,7,8,5,12,0,5,9,10,7,12,1,0
9070,1,1,126,129,0,1,1,1,19,0,6,6,6,13,0,0,6,7,5,13,0,1
171,1,1,149,151,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1
9003,1,1,110,120,0,0,1,0,31,0,6,15,1,11,0,0,6,10,0,0,0,0
9003,1,1,133,130,0,0,1,0,32,0,6,8,3,13,0,4,10,14,6,11,0,0
9500,1,1,127,119,0,1,0,1,19,0,8,12,7,12,0,0,8,12,7,12,0,1
9773,1,6,120,122,0,1,0,0,34,8,10,11,10,12,0,5,10,12,9,12,0,1
9773,1,1,136,129,0,1,0,0,21,0,6,6,6,13,0,0,6,6,6,13,0,1
9238,1,1,110,112,0,1,0,1,53,4,7,16,6,11,0,2,7,9,7,11,0,1
9500,1,1,136,136,0,1,0,1,19,0,7,7,7,14,0,0,8,8,8,15,0,1
9773,1,1,145,133,0,1,0,1,20,0,6,9,4,13,0,0,6,13,4,11,0,1
9773,1,1,159,151,0,1,0,0,18,0,6,6,6,14,0,0,6,6,6,14,0,1
171,1,1,147,133,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
9500,1,1,150,130,0,1,0,1,21,0,8,8,7,14,0,0,8,8,7,14,0,1
8014,0,3,140,140,0,0,0,0,26,0,5,9,0,0,0,0,5,10,0,0,0,0
9085,1,39,150,150,0,1,0,0,26,11,18,45,18,11,10,9,13,27,13,12,5,1
9991,0,39,130,130,0,0,0,0,21,0,5,12,3,11,0,0,5,10,1,13,0,0
9773,1,1,120,125,0,1,0,0,18,0,6,9,6,12,0,0,6,9,6,13,0,1
9070,1,39,130,124,0,1,0,1,21,4,12,12,12,13,0,5,12,12,11,12,0,1
9254,1,1,112,113,0,1,0,0,21,0,6,10,6,10,0,0,6,10,4,11,0,2
9670,1,1,128,124,0,1,0,1,19,0,6,6,6,13,0,0,6,6,6,14,0,1
9147,1,1,114,107,0,1,0,0,19,0,5,7,2,10,0,0,5,11,2,14,0,0
9238,1,1,118,110,0,1,0,1,19,0,6,8,6,11,0,0,6,11,5,11,0,1
9500,1,3,130,130,0,1,0,0,27,0,8,8,8,12,0,0,8,8,8,12,0,1
9500,1,1,145,138,0,1,0,1,18,0,7,7,6,12,0,0,7,7,6,12,0,1
9147,1,1,121,126,0,1,0,0,20,0,5,12,1,10,2,0,5,5,0,0,0,0
9500,1,1,114,114,0,1,0,1,19,0,7,7,7,13,0,0,8,8,8,12,0,1
9670,1,1,127,116,0,1,0,0,20,0,6,7,0,0,0,0,6,6,0,0,0,0
9238,1,1,145,128,0,1,0,1,19,0,6,12,5,11,0,0,6,11,6,11,0,1
9238,1,1,130,130,0,1,0,0,20,0,6,8,4,11,0,0,6,15,3,10,0,2
171,1,1,150,134,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
9853,1,1,145,146,0,1,0,0,18,0,6,6,6,13,0,0,6,6,6,13,0,1
9085,1,1,128,135,0,1,0,0,20,0,5,7,4,12,0,0,5,5,5,13,0,1
9991,0,1,140,120,0,0,0,0,38,0,5,6,5,10,0,0,5,9,2,11,0,0
8014,0,1,130,138,0,1,0,0,42,0,6,8,5,11,0,0,6,6,6,12,0,1
9500,1,1,140,135,0,1,0,0,32,0,7,0,0,0,0,0,8,0,0,0,0,0
9773,1,1,120,120,0,1,0,0,22,0,6,6,6,13,0,0,6,6,6,13,0,1
9991,0,1,147,111,0,1,0,0,28,0,5,10,0,0,0,0,5,5,0,0,0,0
8014,0,9,133,100,0,1,0,0,37,0,6,0,0,0,0,0,6,0,0,0,0,0
9003,1,39,160,160,0,1,0,0,43,0,6,8,6,14,0,0,6,9,6,15,0,1
8014,0,1,133,114,0,1,0,1,41,0,6,10,5,12,0,0,6,6,6,12,0,1
8014,0,19,140,131,0,1,0,1,29,0,6,11,4,11,0,0,6,9,5,10,0,1
8014,0,1,133,97,0,1,0,1,35,0,6,8,6,10,0,0,6,7,6,11,0,1
9238,1,1,131,131,0,1,0,0,18,0,6,8,4,11,0,0,6,8,4,12,0,0
9500,1,19,133,120,0,0,0,1,39,0,7,14,3,11,0,0,7,9,2,10,0,0
9991,0,1,120,110,0,1,0,0,37,0,5,14,2,10,0,0,5,7,3,11,0,2
9500,1,1,130,133,0,1,0,1,26,0,7,7,6,13,0,0,7,7,6,13,0,1
9085,1,3,140,140,0,1,0,0,32,0,5,8,1,14,2,0,5,12,0,0,4,0
8014,0,1,133,100,0,1,0,0,37,3,8,12,7,11,0,2,7,10,6,12,0,2
9085,1,1,140,129,0,1,0,0,28,0,6,17,0,0,0,0,6,6,0,0,0,2
9238,1,1,133,137,0,1,0,0,19,0,6,10,0,0,4,0,6,0,0,0,0,0
9147,1,1,125,122,0,1,0,0,18,0,5,9,1,11,0,0,5,9,2,12,0,2
9853,1,1,115,108,0,1,0,1,19,0,7,10,6,13,0,0,7,7,7,13,0,1
9670,1,3,110,110,0,1,0,0,32,4,11,15,8,13,0,2,8,10,8,15,0,1
9147,1,1,140,127,0,1,0,0,31,0,5,8,3,11,0,0,5,9,2,11,0,0
9500,1,1,100,121,0,1,0,0,34,0,8,11,7,11,0,0,8,11,7,11,0,2
171,1,1,145,140,0,1,0,0,20,6,12,12,12,13,0,4,11,14,11,14,0,1
9500,1,19,133,114,0,1,0,0,28,0,7,15,1,10,0,0,7,10,1,10,0,0
9991,0,39,150,150,0,1,0,0,31,2,6,8,6,12,0,2,7,8,7,13,0,2
9773,1,1,145,131,0,1,0,0,18,0,6,7,6,12,0,0,6,8,4,12,0,2
8014,0,19,133,110,0,0,0,0,31,0,6,8,5,11,0,0,6,9,3,11,0,0
9773,1,1,110,105,0,1,0,0,19,0,6,6,6,13,0,0,6,8,5,12,0,1
9238,1,1,128,127,0,1,0,1,19,0,6,8,6,14,0,0,6,8,6,12,0,1
9238,1,19,133,130,0,1,0,0,31,0,6,11,0,0,0,0,5,10,0,0,0,2
9085,1,3,130,130,0,1,0,0,34,0,6,0,0,0,0,0,6,0,0,0,0,0
9556,1,1,137,122,0,1,0,1,18,0,7,7,7,15,0,0,8,8,8,16,0,1
9254,1,1,123,113,0,1,0,0,18,0,6,6,6,13,0,0,6,6,6,12,0,1
9147,1,1,156,151,0,1,1,0,19,0,5,7,5,13,0,0,5,11,5,12,5,1
9773,1,1,133,125,0,0,1,1,22,0,4,8,0,0,0,0,4,8,0,0,0,0
9670,1,1,100,128,0,1,1,0,32,6,10,12,10,11,0,4,9,9,4,11,0,1
9147,1,1,140,135,0,1,1,0,61,0,5,0,0,0,0,0,5,0,0,0,0,0
9991,0,1,130,120,0,1,1,0,30,0,5,7,5,11,0,0,5,5,5,11,0,1
9991,0,1,133,132,0,0,1,0,45,0,5,9,0,0,0,0,5,11,0,0,0,0
9003,1,39,140,140,0,1,1,0,20,0,6,7,6,13,0,0,6,6,6,12,0,1
9500,1,1,137,129,0,1,0,0,19,0,7,0,0,0,0,0,8,0,0,0,0,0
9119,1,1,120,108,0,1,1,0,26,4,10,14,4,11,0,4,11,11,4,12,0,0
9670,1,1,125,125,0,1,1,0,19,0,5,6,3,13,0,0,5,5,1,11,0,0
9773,1,1,130,140,0,1,1,1,19,0,6,6,6,12,0,0,6,7,6,11,0,1
9773,1,1,115,116,0,1,1,0,19,0,6,6,6,12,0,0,6,7,5,13,0,1
9147,1,1,150,137,0,1,1,1,19,0,5,6,5,13,0,0,5,6,5,12,0,1
9670,1,1,134,128,0,0,1,0,19,0,5,5,0,0,0,0,4,4,0,0,0,0
9670,1,1,120,106,0,0,1,0,28,0,5,7,3,11,0,0,5,8,2,11,1,0
9147,1,1,141,130,0,1,1,0,24,10,15,16,15,13,1,10,14,14,14,13,0,1
9130,1,1,133,126,0,1,1,0,18,0,5,7,3,13,0,0,5,5,5,13,0,1
9119,1,1,149,141,0,1,1,0,18,0,5,9,2,11,0,0,5,9,2,12,2,2
9773,1,1,121,113,0,1,1,1,18,0,6,7,6,11,0,0,6,12,5,10,0,1
9003,1,39,120,120,0,1,1,0,21,0,6,9,5,13,0,0,6,9,5,12,0,1
9991,0,1,148,130,0,0,1,0,28,0,5,5,0,0,0,0,5,6,0,0,0,0
9003,1,12,133,120,0,1,1,0,58,0,6,9,0,0,0,0,6,6,0,0,0,0
9991,0,1,135,134,0,0,1,0,49,0,5,5,0,0,0,0,5,5,0,0,0,0
9119,1,1,150,120,0,1,1,0,24,0,5,6,3,10,0,0,5,9,2,10,0,2
9670,1,1,130,114,0,1,1,0,25,0,5,5,4,13,0,0,5,5,4,14,0,1
9147,1,1,133,123,0,1,1,0,33,0,5,5,1,10,0,0,5,5,0,0,0,0
9119,1,19,133,118,0,0,1,0,33,0,5,11,0,0,0,0,5,5,0,0,0,0
9853,1,1,110,100,0,1,1,0,40,0,2,4,1,16,0,0,4,5,4,15,0,1
9991,0,1,170,151,0,1,1,0,48,0,5,9,5,12,0,0,5,8,5,11,0,1
9119,1,1,120,116,0,0,1,0,18,0,5,10,3,12,0,0,5,8,3,10,0,2
9500,1,19,133,106,0,1,1,0,24,0,7,7,6,12,1,0,7,7,6,12,1,1
9085,1,1,139,127,0,1,1,1,23,0,5,6,5,11,0,0,5,7,4,13,1,1
9991,0,19,133,155,0,0,1,0,39,0,5,6,5,10,0,0,5,7,5,14,0,0
9003,1,1,133,101,0,1,1,0,21,5,11,16,9,11,0,3,9,14,8,12,0,1
9119,1,6,120,128,0,1,1,0,34,4,6,8,4,11,0,1,5,8,2,10,0,0
9991,0,1,100,113,0,1,1,1,41,0,5,9,4,11,0,0,5,6,5,11,0,2
9773,1,1,134,122,0,1,1,0,18,0,6,6,6,12,0,0,6,6,6,12,0,1
9991,0,1,130,145,0,1,1,0,34,0,5,10,4,11,0,0,5,10,4,10,0,2
9147,1,1,128,116,0,1,1,0,19,0,5,8,2,10,0,0,5,8,1,16,0,0
9500,1,1,154,142,0,1,1,0,19,0,8,8,7,13,0,0,8,8,7,13,0,1
9003,1,4,150,150,0,1,1,0,28,0,6,14,6,14,0,0,6,12,6,15,0,1
9070,1,1,134,133,0,1,1,0,18,0,6,7,5,10,1,0,6,6,0,0,0,0
9238,1,1,127,115,0,1,1,0,19,0,6,11,3,12,0,0,6,12,2,10,0,0
9085,1,1,133,100,0,0,1,0,19,0,6,10,5,12,0,0,6,19,2,13,0,0
9500,1,1,130,128,0,1,0,0,18,0,7,7,7,14,0,0,8,11,8,16,0,1
9130,1,1,135,137,0,1,0,0,18,0,6,8,6,12,0,0,6,8,5,14,0,1
9773,1,1,143,149,0,1,0,0,18,0,6,8,6,11,0,0,6,7,6,11,0,0
9238,1,39,150,147,0,1,0,0,19,3,6,6,6,14,0,2,6,6,6,13,0,1
9238,1,3,150,150,0,1,0,0,31,1,6,12,5,12,0,0,6,10,5,14,0,1
8014,0,1,130,103,0,1,0,1,33,0,6,6,6,14,0,0,6,6,6,14,0,1
9500,1,1,113,107,0,1,0,1,20,0,7,10,5,14,0,0,7,8,6,13,0,2
9085,1,39,130,130,0,1,0,0,22,0,6,12,5,12,0,0,6,19,2,11,0,2
9254,1,1,115,109,0,1,0,0,19,0,6,8,6,12,0,0,6,8,5,13,0,1
9070,1,1,146,143,0,1,0,0,18,0,6,6,6,12,0,0,6,6,6,13,0,0
9070,1,1,132,124,1,1,0,0,18,0,6,0,0,0,0,0,6,0,0,0,0,0
9670,1,1,116,119,0,0,0,0,18,0,6,0,0,0,0,0,6,0,0,0,0,0
171,1,1,163,175,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1
9147,1,1,122,116,0,1,0,1,19,0,5,8,5,11,0,0,5,5,3,11,0,1
9238,1,1,136,126,0,1,0,0,18,0,6,6,6,16,0,0,6,7,6,17,0,0
9085,1,1,142,130,0,1,0,0,18,0,5,9,3,13,1,0,5,5,5,12,0,1
9500,1,1,139,133,0,1,0,1,18,0,8,8,7,15,0,0,8,8,7,15,0,1
9238,1,42,140,136,0,1,0,0,21,5,9,10,9,12,0,4,9,9,9,13,0,1
9500,1,1,165,142,0,1,0,1,18,0,8,8,7,14,0,0,8,8,7,14,0,1
9670,1,1,122,114,0,1,0,0,18,0,6,8,6,13,0,0,6,7,6,13,0,1
9500,1,1,135,122,0,1,0,0,18,0,7,10,7,13,0,0,8,13,6,13,0,1
9500,1,1,128,117,0,1,0,0,20,0,7,9,6,11,0,0,8,10,7,12,0,1
9147,1,1,139,152,0,1,0,1,18,0,5,5,5,14,0,0,5,8,5,12,0,1
9773,1,1,125,122,0,1,0,0,18,0,6,0,0,0,0,0,6,0,0,0,0,0
9147,1,1,102,101,0,1,0,1,20,0,5,6,5,11,0,0,5,6,5,11,0,1
9254,1,1,116,119,0,1,0,0,20,0,6,6,6,12,0,0,6,6,6,12,0,1
9147,1,1,138,123,0,1,0,1,19,0,5,5,4,11,0,0,5,5,0,0,0,0
9070,1,1,135,121,0,1,0,1,19,5,11,11,11,13,0,5,11,11,11,12,0,1
9670,1,1,110,106,1,0,0,1,18,0,6,6,1,11,0,0,6,0,0,0,0,0
9773,1,1,132,124,0,1,0,1,19,0,6,6,6,11,0,0,6,7,6,12,0,1
9500,1,1,126,124,0,1,0,1,20,0,8,8,8,12,0,0,8,8,8,12,0,1
9147,1,39,117,117,0,1,0,0,21,4,7,10,6,11,0,1,5,6,5,11,0,1
9500,1,1,120,112,0,1,0,0,21,0,8,12,6,11,0,0,8,12,6,11,0,1
9070,1,1,116,123,0,1,0,0,20,0,6,6,6,14,0,0,6,7,6,13,0,1
9853,1,1,111,105,0,1,0,0,19,0,7,7,7,13,0,0,7,8,7,12,0,1
9085,1,1,128,124,0,0,0,0,21,0,5,8,2,11,0,0,5,7,2,10,0,0
9085,1,1,123,122,0,1,0,0,18,0,5,6,5,14,0,0,5,7,5,11,0,1
9254,1,1,131,123,0,1,0,1,19,0,6,8,5,11,0,0,6,7,5,12,0,1
9500,1,1,135,129,0,1,0,0,18,0,7,8,7,13,0,0,8,8,8,14,0,1
9500,1,1,136,123,0,1,0,1,19,0,8,8,7,13,0,0,8,8,7,13,0,1
9147,1,1,132,126,0,1,0,1,18,0,5,13,3,10,0,0,5,12,3,10,0,1
9853,1,1,120,115,0,1,0,1,18,0,6,11,4,12,0,0,6,8,4,10,0,2
9773,1,1,144,138,0,1,0,0,18,0,6,7,6,13,0,0,6,7,6,14,0,1
9085,1,1,129,118,0,1,0,1,18,0,5,7,4,13,0,0,5,8,5,15,0,1
9070,1,1,136,121,0,1,0,0,18,0,6,6,2,13,0,0,6,6,0,0,0,0
9070,1,1,125,118,0,1,0,1,18,0,6,6,6,14,0,0,6,7,6,14,0,2
9238,1,1,125,119,0,1,0,0,18,0,6,0,0,0,0,0,6,0,0,0,0,0
9238,1,1,154,164,0,1,0,0,18,0,6,6,6,14,0,0,6,6,6,13,0,1
9085,1,1,100,100,0,1,0,1,20,1,2,2,2,12,0,1,6,11,6,12,0,1
9853,1,1,124,121,0,1,0,0,18,0,6,9,5,12,0,0,6,10,5,10,0,2
9070,1,1,126,120,0,1,0,0,18,0,6,8,5,11,0,0,6,7,5,10,1,1
9500,1,1,124,117,0,1,0,1,20,0,8,8,7,12,1,0,8,8,7,12,1,1
9670,1,1,150,110,0,1,0,0,40,4,8,8,8,11,0,3,7,12,5,11,0,1
9500,1,1,133,128,0,1,0,1,18,0,7,11,6,11,0,0,8,11,7,12,0,1
9254,1,1,126,116,0,1,0,0,19,0,6,9,5,11,0,0,6,12,5,12,0,1
9991,0,40,120,120,0,1,0,0,24,0,5,5,0,0,0,0,5,6,0,0,0,0
9773,1,1,175,157,0,1,0,0,19,0,6,8,6,13,0,0,6,7,6,13,0,0
9500,1,1,141,136,0,1,0,0,19,0,8,8,7,14,0,0,8,8,7,14,0,1
9500,1,1,133,121,0,1,0,1,20,0,7,8,6,12,0,0,8,9,7,12,0,1
9500,1,1,143,133,0,1,0,0,18,0,7,7,7,15,0,0,8,8,8,16,0,1
171,1,1,141,136,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1
9500,1,1,134,133,0,1,0,0,19,0,7,8,7,14,0,0,8,8,8,15,0,1
9500,1,1,138,130,0,1,0,0,18,0,7,8,7,14,0,0,8,8,8,15,0,0
9085,1,39,140,140,0,1,0,0,19,0,6,10,6,13,0,0,6,19,5,13,0,1
9500,1,1,142,132,0,1,0,1,19,0,7,8,7,14,0,0,8,8,8,15,0,1
9500,1,1,118,117,0,1,0,1,19,0,7,7,7,13,0,0,8,9,7,14,0,1
9500,1,1,131,126,0,1,0,1,19,0,7,7,7,12,0,0,8,9,7,12,0,0
9500,1,1,130,120,0,1,0,0,19,0,7,7,6,14,0,0,7,7,6,14,0,1
9670,1,12,133,100,0,0,0,0,25,0,5,5,5,11,0,0,5,5,4,11,0,0
9500,1,1,130,116,0,1,0,0,20,0,8,8,7,12,0,0,8,8,7,12,0,1
9238,1,42,130,128,0,0,0,0,23,5,9,12,7,13,0,4,9,14,4,13,0,0
9070,1,1,133,117,0,1,0,0,20,0,6,0,0,0,0,0,6,0,0,0,0,0
8014,0,1,130,131,0,1,0,0,27,0,6,8,5,11,0,0,6,7,6,11,0,1
9500,1,1,149,134,0,1,0,0,18,0,8,8,8,14,0,0,8,8,8,14,0,1
9853,1,1,163,146,0,1,0,0,18,0,6,9,5,13,0,0,6,10,4,11,0,2
8014,0,40,130,130,0,0,0,0,23,7,12,12,11,14,0,4,10,11,8,14,0,0
9500,1,1,145,127,0,1,0,1,19,0,7,7,6,13,0,0,7,7,6,13,0,1
9147,1,1,130,123,0,1,0,0,18,0,5,8,5,12,2,0,5,7,5,11,0,1
9500,1,1,128,100,0,1,0,0,20,0,7,8,7,13,0,0,8,8,8,14,0,1
9670,1,1,111,114,0,1,0,0,18,0,6,9,4,13,0,0,6,10,5,12,0,1
9500,1,1,140,123,0,1,0,1,19,0,8,8,8,14,0,0,8,8,8,14,0,1
9238,1,39,140,144,0,1,0,1,19,3,6,7,6,13,0,2,6,6,6,14,0,1
9853,1,1,145,142,0,1,0,0,19,0,6,9,4,12,0,0,6,9,5,12,0,2
9085,1,1,151,161,0,1,0,0,18,0,5,6,4,13,0,0,5,8,5,14,0,1
9238,1,1,132,135,0,1,0,0,18,0,6,11,5,12,0,0,6,7,6,13,0,1
9773,1,1,116,110,0,1,0,0,18,0,6,6,6,13,0,0,6,6,6,12,0,1
9853,1,1,120,122,0,0,0,0,28,11,11,11,11,11,0,8,8,8,8,12,0,0
9254,1,1,158,138,0,1,0,0,19,0,6,8,4,12,0,0,6,11,1,14,0,0
171,1,1,116,117,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
9500,1,1,112,106,0,1,0,1,19,0,7,8,6,13,0,0,8,9,7,13,0,1
9070,1,1,126,120,1,1,0,1,20,0,6,6,6,13,0,0,6,6,6,12,0,1
9254,1,1,120,116,0,1,0,1,19,0,6,9,5,13,0,0,6,8,5,11,0,1
9070,1,1,117,120,0,1,0,0,21,0,6,7,5,12,0,0,6,7,4,12,0,2
9853,1,1,153,139,0,1,0,1,19,0,7,7,7,13,0,0,7,7,7,14,0,1
9070,1,1,124,123,0,1,0,1,18,1,6,8,6,12,1,0,6,8,6,12,0,1
9130,1,1,127,116,0,1,0,0,19,0,6,0,0,0,0,0,6,0,0,0,0,0
9670,1,1,126,122,0,1,0,1,19,0,6,6,6,13,0,0,6,9,6,13,0,1
9773,1,1,133,146,0,1,0,0,20,0,6,6,5,11,0,0,6,6,6,13,0,1
9853,1,1,114,108,0,1,0,0,18,0,7,11,5,11,0,0,7,9,6,13,0,2
171,1,1,133,133,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2
9130,1,1,130,123,0,1,0,0,18,0,5,7,4,12,0,0,5,6,5,12,0,1
9773,1,1,127,120,0,1,0,0,18,0,6,6,0,0,0,0,6,0,0,0,0,0
9238,1,1,143,126,0,1,0,0,18,0,6,14,5,11,0,0,6,6,6,11,0,1
9773,1,1,130,121,0,1,0,0,20,0,6,12,5,12,0,0,6,8,6,11,0,0
9500,1,1,136,129,0,1,0,1,19,0,7,7,7,13,0,0,8,10,8,12,0,1
9853,1,1,125,114,0,0,0,0,21,0,6,8,3,13,0,0,6,7,3,10,0,0
9670,1,3,110,106,0,0,0,0,20,0,6,6,0,0,0,0,6,9,0,0,0,0
9254,1,1,130,133,0,1,0,0,18,0,6,10,5,12,0,0,6,8,4,11,0,1
9773,1,1,135,124,0,1,0,1,20,0,6,7,6,12,0,0,6,6,6,12,0,1
9500,1,1,133,128,0,1,0,1,19,0,8,8,8,14,0,0,8,8,8,14,0,1
9085,1,6,122,126,0,1,0,0,22,0,5,14,4,14,3,0,5,9,5,13,4,0
9130,1,1,122,121,0,0,0,0,22,0,6,0,0,0,0,0,2,2,0,0,2,0
9853,1,1,121,120,0,1,0,0,18,0,6,10,3,12,0,0,6,8,4,10,0,2
9147,1,1,123,113,0,1,0,0,21,3,10,18,6,11,2,4,10,16,7,10,0,2
9238,1,1,128,120,0,1,0,0,19,0,6,12,2,13,0,0,6,8,5,11,0,1
171,1,1,139,127,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
9500,1,1,124,123,0,1,0,1,20,0,8,8,7,14,1,0,8,8,7,14,1,0
9500,1,1,135,126,0,1,0,1,18,0,7,8,7,12,0,0,8,9,8,12,0,1
9991,0,42,110,128,0,0,0,0,22,7,12,12,7,11,0,5,5,5,5,10,0,0
9085,1,1,138,134,0,1,0,0,20,0,5,7,4,12,0,0,5,9,5,12,0,1
9003,1,39,140,140,0,1,0,0,19,0,6,7,6,12,0,0,6,7,6,12,0,1
9500,1,1,126,115,0,1,0,1,19,0,7,8,7,12,0,0,8,10,7,13,0,1
9500,1,1,113,106,0,1,0,1,20,0,7,10,5,12,0,0,7,8,6,12,0,2
9991,0,1,120,140,0,1,0,0,25,0,5,11,3,10,0,0,5,11,3,11,0,2
9500,1,1,145,136,0,1,0,1,19,0,7,12,6,13,0,0,8,10,7,14,0,1
9500,1,1,124,119,0,1,0,0,19,0,8,8,8,13,0,0,8,8,8,13,0,1
9070,1,1,160,152,0,0,0,0,19,0,5,5,0,0,0,0,6,0,0,0,0,0
9500,1,1,138,144,0,1,0,0,20,0,7,9,6,12,0,0,8,8,7,13,0,1
9556,1,1,130,159,0,1,0,0,25,0,7,11,7,11,0,0,8,21,5,11,0,2
9500,1,1,127,129,0,1,0,1,20,0,7,7,6,12,0,0,7,7,6,12,0,1
9238,1,1,170,140,0,1,0,0,24,0,6,9,4,15,0,0,6,10,5,16,0,2
9670,1,1,111,105,0,1,0,0,20,0,5,6,5,13,0,0,5,6,5,13,0,1
9500,1,1,100,136,0,1,0,0,21,4,7,9,7,14,0,5,8,8,8,13,0,1
9003,1,39,160,160,0,1,0,1,19,0,6,8,6,13,0,0,6,11,5,13,0,1
9773,1,1,152,139,0,1,0,1,19,0,6,6,6,12,0,0,6,6,6,13,0,1
9670,1,1,144,126,0,1,0,1,21,0,5,5,5,13,0,0,5,5,4,13,0,1
9500,1,3,133,184,0,1,0,0,28,0,7,9,7,17,0,1,8,9,8,16,0,1
9238,1,1,125,125,0,0,0,1,19,0,6,8,5,10,0,0,6,8,5,11,0,1
9147,1,1,150,138,0,1,0,1,18,0,5,5,5,14,0,0,5,6,5,13,0,1
9500,1,1,143,133,0,1,0,1,18,0,8,8,7,12,0,0,8,8,7,12,0,1
9500,1,1,145,141,0,1,0,1,18,0,8,8,8,13,0,0,8,8,8,13,0,1
9500,1,1,120,130,0,1,0,0,22,4,8,8,7,13,0,4,8,8,7,13,0,1
9147,1,1,138,131,0,1,0,0,19,0,5,9,4,11,0,0,5,8,3,10,0,2
9500,1,1,145,145,0,1,0,1,18,0,7,7,7,14,0,0,8,8,8,15,0,1
9254,1,1,122,114,0,0,0,0,20,0,6,0,0,0,0,0,6,0,0,0,0,0
171,1,39,110,108,0,0,0,0,26,4,9,9,4,11,0,3,10,12,3,11,0,0
9070,1,1,136,125,0,1,0,1,18,0,6,6,6,14,0,0,6,8,6,13,0,1
9254,1,1,145,131,0,1,0,1,21,0,6,8,6,12,0,0,6,11,3,11,0,0
9500,1,1,141,126,0,1,0,0,18,0,8,8,7,13,0,0,8,8,7,13,0,1
